0,0,0.690648068557922,-2.81742654787336,0,0.690648068557922,-2.81742654787336,0,0.690648068557922,-2.81742654787336
0.0001,1.33313334132445e-11,0.690648068568729,-2.81742654786944,1.86250426189456e-10,0.690635297790054,-2.81745918657851,6.1807402609221e-14,0.69063529735145,-2.81745918751083
0.0002,1.06634669220981e-10,0.690648068644369,-2.81742654784198,9.08634029333761e-10,0.690614158335154,-2.81750173412169,4.32170135941641e-13,0.690598689640913,-2.81755148695571
0.0003,3.59838019375258e-10,0.690648068849636,-2.81742654776745,2.66344093701188e-09,0.69059136205038,-2.81753495790455,1.85078815577417e-12,0.690541340462423,-2.81769327103436
0.0004,8.52821414889681e-10,0.69064806924929,-2.81742654762235,6.0774230938485e-09,0.690563799618551,-2.81757173262338,5.79414252417582e-12,0.69046584459068,-2.81787604923101
0.0005,1.66541691527986e-09,0.690648069908048,-2.81742654738318,1.17051353418942e-08,0.690534503679589,-2.81760411180428,1.44698438905132e-11,0.690374383119497,-2.81809272562553
0.0006,2.87740861794026e-09,0.690648070890589,-2.81742654702645,2.00380935587191e-08,0.690502367103932,-2.81763754227414,3.08110042450166e-11,0.690268792404381,-2.81833736774472
0.0007,4.56853266745759e-09,0.690648072261555,-2.8174265465287,3.15127533391816e-08,0.690468815983774,-2.81766876390319,5.84706342024816e-11,0.690150620903117,-2.81860501530304
0.0008,6.81847726486085e-09,0.690648074085547,-2.81742654586647,4.65175005594124e-08,0.690433520851964,-2.81770010017978,1.01816061123003e-10,0.690021176386234,-2.81889152090306
0.0009,9.70688267680822e-09,0.690648076427129,-2.81742654501632,6.53987414482979e-08,0.690397188022142,-2.81773023034422,1.65923365132833e-10,0.68988156525853,-2.81919341709326
0.001,1.33133412447108e-08,0.690648079350825,-2.81742654395483,8.84662307298092e-08,0.690359772136664,-2.81776015870872,2.5657183137185e-10,0.689732725361101,-2.81950780531054
0.0011,1.77173973937936e-08,0.690648082921119,-2.81742654265857,1.15997719733537e-07,0.690321644992876,-2.81778936210428,3.80238417689174e-10,0.689575453362994,-2.81983226304491
0.0012,2.29985476420934e-08,0.690648087202459,-2.81742654110417,1.48243016748986e-07,0.690282851625666,-2.81781828365497,5.44092237630364e-10,0.68941042765181,-2.82016476620106
